investigate,/In'ʤɛstəgeɪt/,điều tra,verb,They investigate thoroughly.,Kỹ năng đọc: Phần 1
employment,/ım'pləımənt/,việc làm,noun,Employment rates are high.,Kỹ năng đọc: Phần 1
construction,/kən'strakfn/,sự xây dựng,noun,Construction is ongoing.,Kỹ năng đọc: Phần 1
gather,/gaðә(r)/,thu thập,verb,We gather information regularly.,Kỹ năng đọc: Phần 3
politely,/pə'lartli/,lịch sự,adverb,She spoke politely.,Kỹ năng đọc: Phần 3
claim,/kleım/,yêu cầu,verb,He claimed the prize.,Kỹ năng đọc: Phần 3
currently,/'karəntli/,hiện tại,adverb,I am currently working.,Kỹ năng đọc: Phần 3
associate,/ə'səusiert/,"liên kết, cộng sự",noun/verb,She associates with talented people.,Kỹ năng đọc: Phần 3
concerned,/kən's3:nd/,"lo ngại, quan tâm",adjective,He’s concerned about the results.,Kỹ năng đọc: Phần 3
procedure,/prə'si:dzǝ(r)/,thủ tục,noun,Follow the procedure carefully.,Kỹ năng đọc: Phần 3
outline,/'autlaın/,"bản phác thảo, đề cương",noun,She drew an outline of the plan.,Kỹ năng đọc: Phần 3
embark on,/im'ba:k pn/,bắt đầu,phrase,They embarked on a new project.,Kỹ năng đọc: Phần 3
so far,/sau fa:/,cho đến nay,phrase,"So far, no issues have occurred.",Kỹ năng đọc: Phần 3
ambitiously,/æm'bıfəsli/,tham vọng,adverb,She ambitiously aims to lead the team.,Kỹ năng đọc: Phần 3
release,/rı'li:s/,"phát hành, sự phát hành",noun/verb,The movie's release was successful.,Kỹ năng đọc: Phần 3
profoundly,/prə'faundli/,sâu sắc,adverb,He was profoundly affected by the news.,Kỹ năng đọc: Phần 3
overly,/'əuvəli/,quá mức,adverb,The instructions were overly complicated.,Kỹ năng đọc: Phần 3
intensely,/in'tensli/,mãnh liệt,adverb,They worked intensely to meet the deadline.,Kỹ năng đọc: Phần 3
collaboration,/kə læbə'reifn/,sự hợp tác,noun,The collaboration was successful.,Kỹ năng đọc: Phần 3
re-entry,/ri: 'entri/,sự trở lại,noun,His re-entry into the industry was celebrated.,Kỹ năng đọc: Phần 3
duplication,"/,dju:plı'keifn/",sự sao chép,noun,Avoid duplication of effort.,Kỹ năng đọc: Phần 3
turnover,/'t3:nəovə(r)/,doanh thu,noun,The company's turnover increased.,Kỹ năng đọc: Phần 3
venue,/'venju:/,địa điểm,noun,The concert venue is downtown.,Kỹ năng đọc: Phần 3
renovation,/renə'verfn/,sự cải tạo,noun,The building underwent renovation.,Kỹ năng đọc: Phần 3
bidder,/'bıdə(r)/,người đấu giá,noun,The bidder offered a high price.,Kỹ năng đọc: Phần 3
whereas,/weər'æz/,trong khi,conjunction,"He prefers tea, whereas she prefers coffee.",Kỹ năng đọc: Phần 3
alternatively,/5:1't3:nətıvli/,thay thế,adverb,We can go by train or alternatively by bus.,Kỹ năng đọc: Phần 3
certain,/'s3:tn/,chắc chắn,adjective,It is certain to rain today.,Kỹ năng đọc: Phần 3
responsibility,/rı spansə'bıləti/,trách nhiệm,noun,She took responsibility for the mistake.,Kỹ năng đọc: Phần 3
relocate,/ ri:ləu'kert/,di dời,verb,They plan to relocate the office.,Kỹ năng đọc: Phần 3
reportedly,/rı'pɔ:tıdli/,theo báo cáo,adverb,The event was reportedly canceled.,Kỹ năng đọc: Phần 3
hire,/'harə(r)/,thuê,verb,They plan to hire new employees.,Kỹ năng đọc: Phần 3
process,/'prǝuses/,"quy trình, xử lý",noun,The process of manufacturing is complex.,Kỹ năng đọc: Phần 3
enforce,/In'fo:s/,thi hành,verb,The law is enforced strictly.,Kỹ năng đọc: Phần 3
expand,/Ik'spænd/,mở rộng,verb,We plan to expand our business.,Kỹ năng đọc: Phần 3
apply,/ǝ'plaı/,"áp dụng, ứng tuyển",verb,You should apply for the position.,Kỹ năng đọc: Phần 3
depth,/dep0/,độ sâu,noun,The depth of the lake is 20 meters.,Kỹ năng đọc: Phần 3
deeply,/'di:pli/,sâu sắc,adverb,She is deeply involved in the project.,Kỹ năng đọc: Phần 3
seedling,/'si:dlm/,cây con,noun,The seedling needs watering.,Kỹ năng đọc: Phần 3
gently,/'dzentli/,nhẹ nhàng,adverb,He gently touched the fragile vase.,Kỹ năng đọc: Phần 3
collect,/kə'lekt/,thu thập,verb,They collect stamps as a hobby.,Kỹ năng đọc: Phần 3
operation,"/,ppǝ'reifn/","hoạt động, phẫu thuật",noun,The operation was successful.,Kỹ năng đọc: Phần 3
budget,/'badzıt/,ngân sách,noun,We need to stay within the budget.,Kỹ năng đọc: Phần 3
warranty,/'wprənti/,bảo hành,noun,The product comes with a three-year warranty.,Kỹ năng đọc: Phần 3
impressive,/im'presıv/,ấn tượng,adjective,Her presentation was impressive.,Kỹ năng đọc: Phần 3
patronage,/'peitrənıd3/,sự bảo trợ,noun,The artist relies on patronage.,Kỹ năng đọc: Phần 3
sincerely,/sın'sıəli/,chân thành,adverb,I sincerely thank you.,Kỹ năng đọc: Phần 3
deservedly,/dı'z3:vıdli/,"xứng đáng, đúng đắn",adverb,He was deservedly awarded.,Kỹ năng đọc: Phần 3
commonly,/'kpmənli/,"phổ biến, thông thường",adverb,This method is commonly used.,Kỹ năng đọc: Phần 3
fragile,/'frædza1l/,dễ vỡ,adjective,Handle the fragile items carefully.,Kỹ năng đọc: Phần 3
store,/stɔ:(r)/,"lưu trữ, cửa hàng",verb,They store data online.,Kỹ năng đọc: Phần 3
secure,/sı'kjuə(r)/,"đảm bảo, an toàn",verb,We must secure the building.,Kỹ năng đọc: Phần 3
until after,/ən'tıl 'a:ftǝ/,cho tới sau khi,phrase,Wait until after dinner.,Kỹ năng đọc: Phần 3
host,/həust/,"đăng cai, chủ nhà",noun/verb,They will host the international conference.,Kỹ năng đọc: Phần 3
authentic,/5: '0entık/,xác thực,adjective,This is an authentic signature.,Kỹ năng đọc: Phần 3
opposite,/'ppəzıt/,"đối diện, điều trái ngược",adjective/noun,The park is opposite the library.,Kỹ năng đọc: Phần 3
regional,/'ri:dzənl/,thuộc vùng,adjective,Regional differences exist.,Kỹ năng đọc: Phần 3
surge,/s3:d3/,sự tăng vọt lên,noun/verb,A surge in sales was observed.,Kỹ năng đọc: Phần 3
demand,/dı'ma:nd/,"nhu cầu, đòi hỏi",noun/verb,The demand for new products is high.,Kỹ năng đọc: Phần 3
senior,/'si:niǝ(r)/,"cao cấp, cao niên",adjective,He is a senior manager.,Kỹ năng đọc: Phần 3
replace,/rr'plers/,thay thế,verb,We need to replace the old equipment.,Kỹ năng đọc: Phần 3
strategy,/'strætədzi/,chiến lược,noun,Our strategy focuses on growth.,Kỹ năng đọc: Phần 3
practice,/'præktıs/,thực hành,noun/verb,Practice makes perfect.,Kỹ năng đọc: Phần 3
flexible,/'fleksəbl/,linh hoạt,adjective,Flexible working hours are available.,Kỹ năng đọc: Phần 3
alternate,/o:1't3:nət/,"xen kẹ, thay phiên",adjective,They work on an alternate basis.,Kỹ năng đọc: Phần 3
replacement,/rı'pleısmənt/,sự thay thế,noun,The replacement of the old server was smooth.,Kỹ năng đọc: Phần 3
creation,/kri'eıfn/,sự sáng tạo,noun,The creation of new products takes time.,Kỹ năng đọc: Phần 3
enhance,/in'ha:ns/,nâng cao,verb,This will enhance your skills.,Kỹ năng đọc: Phần 3
on one's behalf,/an wvuz bı'ha:f/,thay mặt ai,phrase,He spoke on behalf of the team.,Kỹ năng đọc: Phần 3
reside,/rı'zaıd/,cư trú,verb,They reside in New York.,Kỹ năng đọc: Phần 3
arrange,/ǝ'reindʒ/,sắp xếp,verb,She will arrange the meeting.,Kỹ năng đọc: Phần 3
distribute,/'dıstribju:t/,phân phối,verb,They distribute food to the needy.,Kỹ năng đọc: Phần 3
supplemental,/sʌplı'mentri/,bổ sung,adjective,This is a supplemental report.,Kỹ năng đọc: Phần 3
recipient,/rı'sıpiənt/,người nhận,noun,He is the recipient of the award.,Kỹ năng đọc: Phần 3
perspective,/pǝ'spektıv/,góc nhìn,noun,"From my perspective, it's a good idea.",Kỹ năng đọc: Phần 3
worthwhile,"/,w3:0'waıl/",đáng giá,adjective,The trip was worthwhile.,Kỹ năng đọc: Phần 3
productivity,/.prodʌk'tıvəti/,năng suất,noun,The factory's productivity has improved.,Kỹ năng đọc: Phần 3
disposable,/dr'spəuzəbl/,dùng một lần,adjective,Disposable cups are convenient.,Kỹ năng đọc: Phần 3
project,/prǝ'dzekt/,dự án,noun/verb,They started a new project.,Kỹ năng đọc: Phần 3
mindful of,/'maindfl əv/,chú ý đến,phrase,She is mindful of her responsibilities.,Kỹ năng đọc: Phần 3
structure,/' straktfə(r)/,cấu trúc,noun,The structure of the building is solid.,Kỹ năng đọc: Phần 3
correspond with,/ korə'spond wıð/,"trao đổi thư từ, giống với",phrase,They correspond with clients regularly.,Kỹ năng đọc: Phần 3
word,/wɜːrd/,từ,noun,This word has multiple meanings.,Kỹ năng đọc: Phần 3
remove,/rı'muːv/,Loại bỏ,v,Please remove the old files from the folder. (Hãy loại bỏ các tệp cũ khỏi thư mục),Kỹ năng nghe: Phần 3
spill,/spɪl/,Tràn,v,Be careful not to spill the coffee. (Cẩn thận đừng làm đổ cà phê),Kỹ năng nghe: Phần 3
railing,/'reɪ.lɪŋ/,Lan can,n,She leaned on the railing to enjoy the view. (Cô ấy tựa vào lan can để ngắm cảnh),Kỹ năng nghe: Phần 3
arrange,/ə'reɪndʒ/,Sắp xếp,v,We need to arrange the chairs before the event. (Chúng ta cần sắp xếp ghế trước buổi sự kiện),Kỹ năng nghe: Phần 3
out of stock,,Hết hàng,adj,The product is currently out of stock. (Sản phẩm hiện đang hết hàng),Kỹ năng nghe: Phần 3
be scheduled to do,,Được lên lịch làm gì,v,The meeting is scheduled to take place at 3 PM. (Cuộc họp được lên lịch lúc 3 giờ chiều),Kỹ năng nghe: Phần 3
require,/rɪ'kwaɪər/,Yêu cầu,v,This job requires strong communication skills. (Công việc này yêu cầu kỹ năng giao tiếp tốt),Kỹ năng nghe: Phần 3
charge,/tʃɑ:dʒ/,Sạc / Phí,v/n,They charge a fee for delivery. (Họ tính phí giao hàng),Kỹ năng nghe: Phần 3
supervisor,/'suː.pə.vaɪ.zər/,Người giám sát,n,The supervisor will review your work. (Người giám sát sẽ kiểm tra công việc của bạn),Kỹ năng nghe: Phần 3
harvest,/'hɑː.vɪst/,Thu hoạch,v,Farmers harvest rice in the autumn. (Nông dân thu hoạch lúa vào mùa thu),Kỹ năng nghe: Phần 3
demonstration,/ˌdem.ən'streɪ.ʃən/,Minh họa,giới thiệu (SP),n,Kỹ năng nghe: Phần 3
prefer,/prɪ'fɜːr/,Thích hơn,v,I prefer tea to coffee. (Tôi thích trà hơn cà phê),Kỹ năng nghe: Phần 3
aisle,/aɪl/,Lối đi,n,Please walk along the aisle. (Hãy đi dọc lối đi),Kỹ năng nghe: Phần 3
officially,/ə'fɪʃ.əl.i/,Một cách chính thức,adv,The results will be officially announced tomorrow. (Kết quả sẽ được công bố chính thức vào ngày mai),Kỹ năng nghe: Phần 3
donate,/dəʊ'neɪt/,Quyên góp,v,They donated clothes to the charity. (Họ quyên góp quần áo cho tổ chức từ thiện),Kỹ năng nghe: Phần 3
foundation,/faʊn'deɪ.ʃən/,Tổ chức,n,The foundation supports education projects. (Tổ chức này hỗ trợ các dự án giáo dục),Kỹ năng nghe: Phần 3
organization,/ˌɔː.ɡən.aɪ'zeɪ.ʃən/,Tổ chức,n,This organization helps homeless people. (Tổ chức này giúp đỡ người vô gia cư),Kỹ năng nghe: Phần 3
expand,/ɪk'spænd/,Mở rộng,v,The company plans to expand overseas. (Công ty dự định mở rộng ra nước ngoài),Kỹ năng nghe: Phần 3
create,/kri'eɪt/,Tạo,v,They will create a new software tool. (Họ sẽ tạo ra một công cụ phần mềm mới),Kỹ năng nghe: Phần 3
application,/ˌæp.lɪ'keɪ.ʃən/,Ứng dụng,đơn xin,n,Kỹ năng nghe: Phần 3
registration,/ˌredʒ.ɪ'streɪ.ʃən/,Sự đăng ký,n,Online registration is now open. (Đăng ký trực tuyến đã mở),Kỹ năng nghe: Phần 3
participant,/pɑː'tɪs.ɪ.pənt/,Người tham gia,n,Each participant must sign in. (Mỗi người tham gia phải điểm danh),Kỹ năng nghe: Phần 3
impressive,/ɪm'pres.ɪv/,Ấn tượng,adj,Her presentation was very impressive. (Bài thuyết trình của cô ấy rất ấn tượng),Kỹ năng nghe: Phần 3
turnout,/'tɜːn.aʊt/,Số người tham dự,n,The event had a great turnout. (Sự kiện có số người tham dự đông),Kỹ năng nghe: Phần 3
certainly,/'sɜː.tən.li/,Một cách chắc chắn,adv,I will certainly help you. (Tôi chắc chắn sẽ giúp bạn),Kỹ năng nghe: Phần 3
variety,/və'raɪ.ə.ti/,Nhiều,đa dạng,n,Kỹ năng nghe: Phần 3
streamline,/'striːm.laɪn/,Tinh giản,cải thiện,v,Kỹ năng nghe: Phần 3
specific,/spə'sɪf.ɪk/,Cụ thể,adj,Please give me specific instructions. (Hãy cho tôi hướng dẫn cụ thể),Kỹ năng nghe: Phần 3
executive,/ɪɡ'zek.jə.tɪv/,Người điều hành,n,The executive approved the proposal. (Người điều hành đã phê duyệt đề xuất),Kỹ năng nghe: Phần 3
administrative,/əd'mɪn.ɪ.strə.tɪv/,Thuộc quản trị,adj,She handles administrative tasks. (Cô ấy xử lý các công việc hành chính),Kỹ năng nghe: Phần 3
investment,/ɪn'vest.mənt/,Sự đầu tư,n,Real estate is a long-term investment. (Bất động sản là khoản đầu tư dài hạn),Kỹ năng nghe: Phần 3
cost estimate,/kɒst 'es.tɪ.meɪt/,Ước tính chi phí,n,We need a cost estimate for the project. (Chúng ta cần ước tính chi phí cho dự án),Kỹ năng nghe: Phần 3
revise,/rɪ'vaɪz/,Sửa đổi,v,Please revise the report before submitting. (Hãy sửa lại báo cáo trước khi nộp),Kỹ năng nghe: Phần 3
unfortunately,/ʌn'fɔː.tʃən.ət.li/,Không may thay,adv,"Unfortunately, the flight was delayed. (Thật không may, chuyến bay bị hoãn)",Kỹ năng nghe: Phần 3
appointment,/ə'pɔɪnt.mənt/,Lịch hẹn,n,I have a doctor’s appointment at 4 PM. (Tôi có lịch hẹn bác sĩ lúc 4 giờ),Kỹ năng nghe: Phần 3
instruction,/'ɪn.strʌk.ʃən/,Sự hướng dẫn,n,Please follow all instructions carefully. (Hãy làm theo hướng dẫn cẩn thận),Kỹ năng nghe: Phần 3
rack,/ræk/,Giá đỡ,n,Put the books on the rack. (Đặt sách lên giá đỡ),Kỹ năng nghe: Phần 3
adjust,/ə'dʒʌst/,Điều chỉnh,v,You should adjust the settings. (Bạn nên điều chỉnh cài đặt),Kỹ năng nghe: Phần 3
determine,/dɪ'tɜː.mɪn/,Xác định,v,We need to determine the cause. (Chúng ta cần xác định nguyên nhân),Kỹ năng nghe: Phần 3
reasonable,/'riː.zən.ə.bəl/,Hợp lý,adj,The price is reasonable. (Giá cả hợp lý),Kỹ năng nghe: Phần 3
production,/prə'dʌk.ʃən/,Sự sản xuất,n,Production will increase next year. (Sản xuất sẽ tăng vào năm sau),Kỹ năng nghe: Phần 3
prototype,/'prəʊ.tə.taɪp/,Nguyên mẫu,n,They created a prototype of the new device. (Họ đã tạo một nguyên mẫu cho thiết bị mới),Kỹ năng nghe: Phần 3
persuade,/pə'sweɪd/,Thuyết phục,v,He persuaded her to join the team. (Anh ấy thuyết phục cô ấy tham gia nhóm),Kỹ năng nghe: Phần 3
inexpensive,/ˌɪn.ɪk'spen.sɪv/,Không đắt tiền,adj,This restaurant is inexpensive and delicious. (Nhà hàng này rẻ và ngon),Kỹ năng nghe: Phần 3
assemble,/ə'sem.bəl/,Lắp ráp,v,We need to assemble the furniture. (Chúng ta cần lắp ráp đồ nội thất),Kỹ năng nghe: Phần 3
issue,/'ɪʃ.uː/,Vấn đề / ban hành,n/v,The manager issued a new policy. (Quản lý ban hành một chính sách mới),Kỹ năng nghe: Phần 3
evaluate,/ɪ'væl.ju.eɪt/,Đánh giá,v,We must evaluate the results. (Chúng ta phải đánh giá kết quả),Kỹ năng nghe: Phần 3
head over to,,Đi đến,v,We will head over to the venue soon. (Chúng ta sẽ đi đến địa điểm sớm),Kỹ năng nghe: Phần 3
accountant,/ə'kaʊn.tənt/,Kế toán,n,The accountant checked all financial records. (Kế toán kiểm tra toàn bộ hồ sơ tài chính),Kỹ năng nghe: Phần 3
retirement,/rɪ'taɪə.mənt/,Sự nghỉ hưu,n,He is planning for his retirement. (Ông ấy đang lập kế hoạch nghỉ hưu),Kỹ năng nghe: Phần 3
celebrate,/'sel.ə.breɪt/,Ăn mừng,v,We celebrated his birthday yesterday. (Chúng tôi đã tổ chức sinh nhật cho anh ấy hôm qua),Kỹ năng nghe: Phần 3
former,/'fɔː.mər/,Trước,adj,She met her former boss at the event. (Cô ấy gặp sếp cũ tại sự kiện),Kỹ năng nghe: Phần 3
colleague,/'kɒl.iːɡ/,Đồng nghiệp,n,My colleagues are very supportive. (Đồng nghiệp của tôi rất hỗ trợ),Kỹ năng nghe: Phần 3
distribute,/'dɪs.trɪ.bjuːt/,Phân phối,v,They distribute food to the needy. (Họ phân phát thức ăn cho người nghèo),Kỹ năng nghe: Phần 3
urgent,/'ɜː.dʒənt/,Khẩn cấp,adj,This is an urgent matter. (Đây là vấn đề khẩn cấp),Kỹ năng nghe: Phần 3
fully equipped,/'fʊl.i ɪ'kwɪpt/,Được trang bị đầy đủ,adj,The room is fully equipped with modern devices. (Phòng được trang bị đầy đủ thiết bị hiện đại),Kỹ năng nghe: Phần 3
capability,/ˌkeɪ.pə'bɪl.ɪ.ti/,Năng lực,n,She has the capability to lead. (Cô ấy có năng lực lãnh đạo),Kỹ năng nghe: Phần 3
novelty,/'nɒv.əl.ti/,Tính mới lạ,n,The novelty of the idea impressed everyone. (Sự mới lạ của ý tưởng khiến mọi người ấn tượng),Kỹ năng nghe: Phần 3
in time,,Kịp giờ,adv,He arrived just in time. (Anh ấy đến vừa kịp giờ),Kỹ năng nghe: Phần 3
notification,/ˌnəʊ.tɪ.fɪ'keɪ.ʃən/,Thông báo,n,You will receive a notification soon. (Bạn sẽ sớm nhận được thông báo),Kỹ năng nghe: Phần 3
qualified,/'kwɒl.ɪ.faɪd/,Đủ tiêu chuẩn,adj,She is qualified for the job. (Cô ấy đủ tiêu chuẩn cho công việc),Kỹ năng nghe: Phần 3
procedure,/prə'siː.dʒər/,Quy trình,n,Please follow the safety procedure. (Hãy tuân thủ quy trình an toàn),Kỹ năng nghe: Phần 3
investigate,/ɪn'ves.tɪ.ɡeɪt/,Điều tra,v,The police are investigating the case. (Cảnh sát đang điều tra vụ việc),Kỹ năng nghe: Phần 3
alert,/ə'lɜːt/,Tỉnh táo / cảnh báo,adj/v,Stay alert while driving. (Hãy tỉnh táo khi lái xe),Kỹ năng nghe: Phần 3
affordable,/ə'fɔː.də.bəl/,Có giá phải chăng,adj,The hotel is affordable for travelers. (Khách sạn có giá phải chăng),Kỹ năng nghe: Phần 3
dedication,/ˌded.ɪ'keɪ.ʃən/,Sự tận tâm,n,Her dedication to work is admirable. (Sự tận tâm của cô ấy thật đáng ngưỡng mộ),Kỹ năng nghe: Phần 3
operate,/'ɒp.ə.reɪt/,Vận hành,v,The machine operates smoothly. (Máy vận hành trơn tru),Kỹ năng nghe: Phần 3
obtain,/əb'teɪn/,Có được,v,You need a license to obtain this document. (Bạn cần giấy phép để có được tài liệu này),Kỹ năng nghe: Phần 3
open house,/ˈəʊ.pən haʊs/,Ngày mở cửa tham quan,n,The university is holding an open house this weekend. (Trường đại học sẽ tổ chức ngày tham quan cuối tuần này),Kỹ năng nghe: Phần 3
frequent,/'friː.kwənt/,Thường xuyên,adj,He is a frequent visitor here. (Anh ấy là khách thường xuyên ở đây),Kỹ năng nghe: Phần 3
commercial,/kə'mɜː.ʃəl/,Mang tính thương mại,adj,They produced a commercial video. (Họ sản xuất một video quảng cáo),Kỹ năng nghe: Phần 3
landscape,/'lænd.skeɪp/,Tạo cảnh quan,v,They landscaped the garden beautifully. (Họ tạo cảnh quan khu vườn rất đẹp),Kỹ năng nghe: Phần 3
productivity,/ˌprɒd.ʌk'tɪv.ɪ.ti/,Năng suất,n,Improving productivity is essential. (Cải thiện năng suất là rất cần thiết),Kỹ năng nghe: Phần 3
vary,/'veə.ri/,Thay đổi,khác nhau,v,Kỹ năng nghe: Phần 3
grant,/ɡrɑːnt/,Cấp / Tiền trợ cấp,v/n,They granted him permission. (Họ cấp phép cho anh ấy),Kỹ năng nghe: Phần 3
concourse,/'kɒn.kɔːs/,Hội trường,n,The event was held in the main concourse. (Sự kiện được tổ chức tại hội trường chính),Kỹ năng nghe: Phần 3
nutritional,/njuː' trɪʃ.ən.əl/,Thuộc dinh dưỡng,adj,The meal has high nutritional value. (Bữa ăn có giá trị dinh dưỡng cao),Kỹ năng nghe: Phần 3
insert,/In's3:t/,chèn,verb,Please insert the key into the lock. (Vui lòng chèn chìa khóa vào ổ khóa.),Kỹ năng nghe: Phần 2
arrange,/ǝ'rend3/,sắp xếp,verb,They will arrange the chairs for the meeting. (Họ sẽ xếp ghế cho cuộc họp.),Kỹ năng nghe: Phần 2
discard,/dr'ska:d/,"vứt, bỏ",verb,He decided to discard the old clothes. (Anh ấy quyết định bỏ đi quần áo cũ.),Kỹ năng nghe: Phần 2
empty,/'emp.ti/,"trống, làm trống, đổ hết ra",adj/v,The box is empty. (Hộp trống.),Kỹ năng nghe: Phần 2
scatter,/'skæt.ǝr/,"phân tán, vứt rải rác",verb,The children scatter leaves in the yard. (Trẻ em rải lá trong sân.),Kỹ năng nghe: Phần 2
canopy,/'kæn.ǝ.pi/,mái che,noun,The canopy protected us from the rain. (Mái che đã bảo vệ chúng tôi khỏi mưa.),Kỹ năng nghe: Phần 2
display,/dr'spler/,"trưng bày, trình chiếu",verb,The museum will display new artifacts. (Bảo tàng sẽ trưng bày các hiện vật mới.),Kỹ năng nghe: Phần 2
budget,/'bʌd3.It/,ngân sách,noun,The company set a new budget for the project. (Công ty đã đặt ngân sách mới cho dự án.),Kỹ năng nghe: Phần 2
main branch,/men.bra:ntf/,chi nhánh chính,noun phrase,He works at the main branch downtown. (Anh ấy làm việc tại chi nhánh chính ở trung tâm thành phố.),Kỹ năng nghe: Phần 2
appointment,/ə'pɔınt.mənt/,cuộc hẹn,noun,She has an appointment with the doctor tomorrow. (Cô ấy có cuộc hẹn với bác sĩ vào ngày mai.),Kỹ năng nghe: Phần 2
stop by,,ghé ngang,phrase,I'll stop by your office later. (Tôi sẽ ghé qua văn phòng của bạn sau.),Kỹ năng nghe: Phần 2
make it,,làm được,phrase,"With enough effort, you can make it. (Với đủ cố gắng, bạn có thể làm được.)",Kỹ năng nghe: Phần 2
fill the position,,tuyển được người để lấp vào vị trí,phrase,They are trying to fill the position quickly. (Họ đang cố gắng tuyển người cho vị trí đó nhanh chóng.),Kỹ năng nghe: Phần 2
innovative,/'n.e.ve.tv/,có tính đổi mới,adjective,She has an innovative approach to teaching. (Cô ấy có cách tiếp cận đổi mới trong giảng dạy.),Kỹ năng nghe: Phần 2
feature,/'fi:.tfər/,đặc điểm,noun,This phone's main feature is its camera. (Đặc điểm chính của chiếc điện thoại này là camera của nó.),Kỹ năng nghe: Phần 2
revise,/rı'vaız/,sửa đổi,verb,You should revise your report before submitting. (Bạn nên sửa đổi báo cáo của mình trước khi nộp.),Kỹ năng nghe: Phần 2
warranty,/ wor.ən.ti/,bảo hành,noun,The product comes with a two-year warranty. (Sản phẩm đi kèm với bảo hành hai năm.),Kỹ năng nghe: Phần 2
property,/'prpp.ǝ.ti/,tài sản,noun,They own several properties downtown. (Họ sở hữu nhiều bất động sản ở trung tâm thành phố.),Kỹ năng nghe: Phần 2
confirmation,"/,kon.fə'mer.fən/",sự xác nhận,noun,I received confirmation of my reservation. (Tôi đã nhận xác nhận về đặt chỗ của mình.),Kỹ năng nghe: Phần 2
avoid,/ǝ'vɔıd/,tránh,verb,Try to avoid unnecessary delays. (Cố gắng tránh những trì hoãn không cần thiết.),Kỹ năng nghe: Phần 2
electrical failure,/i'lek.trı.kəl.'fer.ljər/,sự mất điện,noun phrase,The building experienced an electrical failure. (Tòa nhà gặp sự cố mất điện.),Kỹ năng nghe: Phần 2
occur /,,xay ra,verb,The incident occurred last night. (Sự việc xảy ra vào đêm qua.),Kỹ năng nghe: Phần 2
unavailable /,,không có sẵn,adjective,The item is currently unavailable. (Mặt hàng này hiện đang không có sẵn.),Kỹ năng nghe: Phần 2
incorrect /,,không chính xác,adjective,Your answer is incorrect. (Đáp án của bạn không chính xác.),Kỹ năng nghe: Phần 2
absolutely,/'æb.sə'lu:t.li/,một cách chắc chắn,adverb,I am absolutely certain. (Tôi chắc chắn tuyệt đối.),Kỹ năng nghe: Phần 2
acquire,/ə'kwaıər/,đạt được,verb,She managed to acquire new skills. (Cô ấy đã cố gắng đạt được kỹ năng mới.),Kỹ năng nghe: Phần 2
significant,/sıg'nıf.1.kənt/,đáng kể,adjective,This result is highly significant. (Kết quả này có ý nghĩa rất lớn.),Kỹ năng nghe: Phần 2
restoration,/ res.tər'er.fən/,"sự khôi phục, sự phục hồi",noun,The building's restoration took a year. (Việc phục hồi toà nhà mất một năm.),Kỹ năng nghe: Phần 2
stunning,/'stn.n/,tuyệt đẹp,adjective,She looked stunning in her dress. (Cô ấy trông tuyệt đẹp trong bộ váy của mình.),Kỹ năng nghe: Phần 2
unveil,/An΄verl/,tiết lộ,verb,The company will unveil the new product tomorrow. (Công ty sẽ tiết lộ sản phẩm mới vào ngày mai.),Kỹ năng nghe: Phần 2
anniversary,/ æn.I'v3:.sər.i/,ngày kỷ niệm,noun,They celebrated their wedding anniversary. (Họ đã tổ chức kỷ niệm ngày cưới của mình.),Kỹ năng nghe: Phần 2
informal,/ın fo.məl/,không trang trọng,adjective,He prefers informal meetings. (Anh ấy thích các cuộc họp không chính thức.),Kỹ năng nghe: Phần 2
pharmaceutical,/ fa:.mə'su:.tı.kəl/,thuộc dược,adjective,Pharmaceutical research is advancing rapidly. (Nghiên cứu dược phẩm đang tiến bộ nhanh chóng.),Kỹ năng nghe: Phần 2
durable,/'d3uə.rə.bəl/,bền,adjective,This sofa is durable. (Cái ghế sofa này bền.),Kỹ năng nghe: Phần 2
manufacturer,/mæn.jə'fæk.tfər.ər/,nhà sản xuất,noun,The manufacturer produces millions of units annually. (Nhà sản xuất tạo ra hàng triệu sản phẩm mỗi năm.),Kỹ năng nghe: Phần 2
mandatory,/'mæn.də.tər.i/,có tính bắt buộc,adjective,Wearing a helmet is mandatory. (Đội mũ bảo hiểm là bắt buộc.),Kỹ năng nghe: Phần 2
entire,/ın'taıər/,toàn bộ,adjective,The entire team is committed. (Toàn bộ đội ngũ đều cam kết.),Kỹ năng nghe: Phần 2
funding,/'f^n.dn/,tiển tài trợ,noun,The project received funding from the government. (Dự án đã nhận được tài trợ từ chính phủ.),Kỹ năng nghe: Phần 2
extend,/ik'stend/,"kéo dài, gia hạn",verb,They will extend the deadline. (Họ sẽ gia hạn thời hạn.),Kỹ năng nghe: Phần 2
assistance,/ǝ'sıs.təns/,sự hỗ trợ,noun,She requested assistance with the project. (Cô ấy yêu cầu sự giúp đỡ với dự án.),Kỹ năng nghe: Phần 2
apply for something,,ứng tuyển cái gì,phrase,He decided to apply for the job. (Anh ấy quyết định ứng tuyển công việc.),Kỹ năng nghe: Phần 2
grant,/gra:nt/,"trợ cấp, tiền trợ cấp",noun/v,They received a research grant. (Họ nhận một khoản trợ cấp nghiên cứu.),Kỹ năng nghe: Phần 2
segment,/'seg.mənt/,phân khúc,noun,Market segmentation is important. (Phân khúc thị trường là quan trọng.),Kỹ năng nghe: Phần 2
